Country,Popularity
United States,97
Canada,96
Russia,96
China,95
Mexico,95
Brazil,94
France,94
United Kingdom,94
Australia,93
Italy,93
Germany,92
India,92
Japan,92
Spain,92
Iceland,88
Argentina,87
Egypt,87
Ireland,87
Portugal,87
Sweden,87
Chile,86
South Africa,86
North Korea,85
Norway,85
South Korea,85
Finland,84
Turkey,84
Greece,83
Poland,83
Denmark,82
Iran,82
New Zealand,82
Iraq,80
Cuba,78
Madagascar,78
Peru,78
Switzerland,78
Ukraine,78
Netherlands,77
Pakistan,77
Mongolia,76
Austria,75
Belgium,75
Colombia,75
Niger,75
Indonesia,74
Saudi Arabia,74
Morocco,72
Thailand,72
Vietnam,72
Afghanistan,71
Israel,70
"Democratic Republic
of the Congo",68
Kazakhstan,68
Uruguay,68
Bolivia,67
Panama,67
Hungary,66
Nigeria,66
Philippines,66
Republic of the Congo,66
Romania,66
Sudan,66
Venezuela,66
Croatia,65
Paraguay,65
Algeria,64
Czech Republic,63
Nepal,63
Estonia,62
Slovakia,62
Syria,62
Latvia,61
Libya,61
United Arab Emirates,61
Yemen,61
Belarus,60
Chad,60
Jamaica,60
Kenya,60
Lithuania,60
Somalia,60
Albania,59
Ecuador,59
Ethiopia,59
Haiti,59
Malaysia,59
Oman,59
Papua New Guinea,59
Sri Lanka,59
Bulgaria,58
Dominica,58
Serbia,58
Laos,57
Taiwan,57
Cambodia,56
Jordan,56
Luxembourg,56
Slovenia,56
Bangladesh,55
"Bosnia and
Herzegovina",55
Costa Rica,55
Tunisia,54
Uzbekistan,54
Zimbabwe,54
Honduras,53
Georgia,52
Myanmar,52
Cyprus,51
Dominican Republic,51
Ghana,51
Guatemala,51
Vatican City,51
Mali,50
North Macedonia,50
Qatar,50
South Sudan,50
Bahamas,49
Turkmenistan,49
Angola,48
Armenia,48
Lebanon,47
Malta,47
Nicaragua,47
Singapore,47
Andorra,46
El Salvador,46
Ivory Coast,46
Moldova,46
Azerbaijan,45
Belize,45
Fiji,45
Guinea,45
Monaco,45
Tanzania,45
Uganda,45
Zambia,45
Bhutan,44
Guyana,44
Montenegro,44
Botswana,43
Central African Republic,43
Kosovo,43
Kuwait,42
Liechtenstein,42
Mozambique,42
Namibia,42
Suriname,42
Cameroon,41
Liberia,41
Senegal,41
Rwanda,40
Tajikistan,40
Togo,40
Kyrgyzstan,39
Lesotho,38
Maldives,38
San Marino,38
Eritrea,37
Barbados,36
Eswatini,36
Trinidad and Tobago,36
Mauritania,35
Bahrain,34
Benin,34
Djibouti,33
Gambia,33
Malawi,33
Sierra Leone,33
Gabon,32
Mauritius,32
"Federated States of
Micronesia",31
Seychelles,31
Brunei,30
Burkina Faso,30
Cape Verde,30
Equatorial Guinea,30
Samoa,30
Tonga,30
Burundi,29
East Timor,29
Saint Lucia,29
Solomon Islands,29
Antigua and Barbuda,28
Guinea-Bissau,28
Saint Kitts and Nevis,28
Marshall Islands,27
Tuvalu,26
Vanuatu,26
Grenada,25
Kiribati,25
Palau,25
"Saint Vincent and the
Grenadines",25
Comoros,24
Nauru,24
São Tomé and Príncipe,23
